Epoch Time,y
1710779980.632038,0.9975971778233845
1710779980.6321514,1.0413862599266899
1710779980.6322644,1.0851753420299954
1710779980.6323774,1.1286140812767875
1710779980.6324906,1.1706516477796767
1710779980.6326036,1.2123388714260526
1710779980.6327167,1.2519241703881157
1710779980.6328297,1.2904585732354057
1710779980.632943,1.3289928436279297
1710779980.633056,1.3675272464752197
1710779980.633169,1.407462888293796
1710779980.633282,1.445296737882826
1710779980.6333952,1.4848820368448894
1710779980.6335082,1.5230660968356662
1710779980.6336212,1.560549471113417
1710779980.6337342,1.595931053161621
1710779980.6338475,1.6313126352098253
1710779980.6339605,1.66424208217197
1710779980.6340735,1.695419814851549
1710779980.6341865,1.726597679985894
1710779980.6342998,1.757425202263726
1710779980.6344128,1.787902381685045
1710779980.6345258,1.81908024681939
1710779980.6346388,1.8481561872694228
1710779980.634752,1.8775824705759683
1710779980.634865,1.9052571720547147
1710779980.634978,1.9318808449639213
1710779980.635091,1.9560523827870686
1710779980.6352043,1.9784724712371826
1710779980.6353173,1.999491188261244
1710779980.6354303,2.0194590091705322
1710779980.6355433,2.0397771729363336
1710779980.6356566,2.0597449938456216
1710779980.6357696,2.0783115757836237
1710779980.6358826,2.0972283681233725
1710779980.6359956,2.114744053946601
1710779980.6361089,2.130858368343777
1710779980.636222,2.145571576224433
1710779980.636335,2.15748217370775
1710779980.6364481,2.168341875076294
1710779980.6365612,2.1774499946170383
1710779980.6366742,2.1855072180430093
1710779980.6367872,2.1935644414689803
1710779980.6369004,2.2005706363254123
1710779980.6370134,2.2079271740383573
1710779980.6371264,2.214583158493042
1710779980.6372395,2.2208888000912137
1710779980.6373527,2.22544272740682
1710779980.6374657,2.227894994947645
1710779980.6375787,2.2289458910624185
1710779980.6376917,2.227894994947645
1710779980.637805,2.22544272740682
1710779980.637918,2.222990724775526
1710779980.638031,2.218436532550388
1710779980.638144,2.2156340546078153
1710779980.6382573,2.21072965198093
1710779980.6383703,2.2061755922105575
1710779980.6384833,2.199519740210639
1710779980.6385963,2.1928637557559543
1710779980.6387095,2.183405293358697
1710779980.6388226,2.1711443530188665
1710779980.6389356,2.1581828594207764
1710779980.6390486,2.1427690982818604
1710779980.6391618,2.1270049942864313
1710779980.6392748,2.110890547434489
1710779980.6393878,2.0944258901807995
1710779980.6395009,2.07796123292711
1710779980.639614,2.0614965756734214
1710779980.639727,2.0443312327067056
1710779980.6398401,2.025764650768704
1710779980.6399534,2.006497515572442
1710779980.6400664,1.984077427122328
1710779980.6401794,1.9616574711269803
1710779980.6402924,1.9371355904473198
1710779980.6404057,1.9133142630259194
1710779980.6405187,1.8894930680592854
1710779980.6406317,1.8653215302361381
1710779980.6407447,1.8411498599582248
1710779980.640858,1.8173286649915907
1710779980.640971,1.7928067843119302
1710779980.641084,1.7661829789479573
1710779980.641197,1.7388586203257241
1710779980.6413102,1.7083814409044054
1710779980.6414232,1.6768533653683133
1710779980.6415362,1.6449748145209417
1710779980.6416492,1.611344814300537
1710779980.6417625,1.5777148140801323
1710779980.6418755,1.5433842606014676
1710779980.6419885,1.5101044707828097
1710779980.6421015,1.4754235744476318
1710779980.6422148,1.4400419923994277
1710779980.6423278,1.402558618121677
1710779980.6424408,1.3640242152743869
1710779980.6425538,1.3247891267140706
1710779980.642667,1.2827516926659477
1710779980.64278,1.2396632300482855
1710779980.642893,1.1972753206888835
1710779980.643006,1.1538366476694744
1710779980.6431193,1.1114487383100722
1710779980.6432323,1.068360341919793
1710779980.6433454,1.026322841644287
1710779980.6434584,0.9821834166844685
1710779980.6435716,0.93769371509552
1710779980.6436846,0.8925033940209283
1710779980.6437976,0.8459118339750502
1710779980.643911,0.7975686921013726
1710779980.644024,0.7495758930842081
1710779980.644137,0.7012327512105306
1710779980.64425,0.6546411911646525
1710779980.6443632,0.6073489454057481
1710779980.6444762,0.5600567658742269
1710779980.6445892,0.5131148960855272
1710779980.6447022,0.4658226834403144
1710779980.6448154,0.4164286123381721
1710779980.6449285,0.36633392175038654
1710779980.6450415,0.31553857856326634
1710779980.6451545,0.2640426324473487
1710779980.6452677,0.21289699607425266
1710779980.6453807,0.161401049958335
1710779980.6454937,0.11130635109212664
1710779980.6456068,0.06121165222591824
1710779980.64572,0.011467264137334293
1710779980.645833,-0.037218903501828514
1710779980.645946,-0.0876540525092019
1710779980.646059,-0.13808919323815239
1710779980.6461723,-0.18887458576096428
1710779980.6462853,-0.24106095234553018
1710779980.6463983,-0.2928970588578118
1710779980.6465113,-0.3443829549683465
1710779980.6466246,-0.3948180874188741
1710779980.6467376,-0.4442025224367777
1710779980.6468506,-0.49288643731011283
1710779980.6469636,-0.540869865152571
1710779980.6470768,-0.5892035696241591
1710779980.6471899,-0.6378874513838027
1710779980.6473029,-0.6862211889690822
1710779980.647416,-0.7352553473578559
1710779980.6475291,-0.7846397161483765
1710779980.6476421,-0.832623177104526
1710779980.6477551,-0.8806066380606757
1710779980.6478684,-0.9261383612950642
1710779980.6479814,-0.9709695974985758
1710779980.6480944,-1.0158008337020874
1710779980.6482074,-1.058530608812968
1710779980.6483207,-1.1016105943255954
